,label,route,calculated_day,date,hr,weekday,115,102,109,104,112,111,103,122,precipitation
0,132.05,C_3,236,7-19,8,1,6.703333333333334,9.976666666666667,10.743333333333334,25.313333333333336,30.343333333333337,52.822500000000005,2.5058333333333334,30.864285714285717,0.0
1,219.14999999999998,C_3,237,7-20,8,2,17.833333333333336,12.844999999999999,13.218333333333334,32.23500000000001,23.703333333333333,36.14947368421053,11.691052631578946,63.107000000000006,0.0
2,166.15,C_3,238,7-21,8,3,9.853333333333333,11.21,11.466666666666667,25.160000000000004,15.066666666666666,31.747142857142855,12.790000000000001,42.614761904761906,0.0
3,161.78666666666666,C_3,240,7-23,8,5,16.759999999999998,11.832857142857144,11.828571428571431,26.50142857142857,19.021428571428576,29.68,10.785909090909092,43.795,0.0
4,207.95,C_3,241,7-24,8,6,10.098333333333334,11.833333333333334,12.073333333333334,23.02833333333333,17.814999999999998,32.623,8.675,31.590909090909097,0.0
5,266.68,C_3,242,7-25,8,0,10.087777777777777,11.734444444444442,12.44222222222222,26.391111111111115,30.574444444444445,55.417692307692306,10.036923076923078,31.89074074074074,0.0
6,197.34666666666666,C_3,243,7-26,8,1,7.906666666666666,8.156666666666668,8.099999999999998,21.389999999999997,14.836666666666666,38.282,3.115333333333333,29.393749999999997,0.0
7,223.8,C_3,244,7-27,8,2,8.946666666666665,11.256666666666666,12.06,25.84666666666666,18.773333333333326,26.102307692307697,10.407692307692308,33.39450000000001,0.0
8,294.46000000000004,C_3,245,7-28,8,3,7.5575,8.7825,9.040000000000001,22.427500000000002,21.98,27.442,3.344,59.017500000000005,0.0
9,129.59,C_3,246,7-29,8,4,11.149999999999999,12.255,13.370000000000001,32.54,25.97,27.93,13.423076923076922,74.7116,0.0
10,164.52,C_3,247,7-30,8,5,9.116000000000001,10.451999999999998,11.655999999999999,27.314,23.092,22.54222222222222,7.840555555555556,43.54590909090909,0.0
11,197.7,C_3,248,7-31,8,6,8.095,10.17,10.408333333333335,30.330000000000002,22.006666666666668,25.010000000000005,2.2859999999999996,39.94833333333333,0.0
12,227.95499999999998,C_3,249,8-1,8,0,15.217499999999998,17.745,12.732499999999998,28.042499999999997,19.685,44.78444444444445,3.818333333333334,53.546774193548394,0.0
13,300.6166666666667,C_3,250,8-2,8,1,11.601666666666668,13.58,12.603333333333333,24.631666666666668,20.626666666666665,26.558571428571426,4.007142857142857,45.862105263157886,0.0
14,253.25,C_3,252,8-4,8,3,11.304285714285713,12.941428571428572,13.622857142857141,32.558571428571426,37.4,34.19421052631579,11.743157894736843,50.14333333333334,0.0
15,352.295,C_3,253,8-5,8,4,10.95142857142857,12.765714285714287,20.827142857142857,24.321428571428573,17.112857142857145,19.503076923076925,3.4784615384615383,48.63294117647058,0.0
16,209.095,C_3,255,8-7,8,6,8.282499999999999,9.13625,9.417499999999999,22.91375,18.6775,23.165714285714284,2.4892857142857148,38.123125,0.0
17,211.78666666666666,C_3,256,8-8,8,0,12.921428571428569,14.997142857142856,13.831428571428571,33.57285714285714,24.052857142857142,52.787619047619046,12.370952380952382,56.037600000000005,0.0
