,label,route,calculated_day,date,hr,weekday,115,102,109,104,112,111,103,122,precipitation
0,132.05,C_3,236,7-19,8,1,8.965,12.305,13.025000000000002,29.7675,30.0825,53.212500000000006,2.4966666666666666,30.332380952380948,0.0
1,251.14499999999998,C_3,237,7-20,8,2,15.994285714285715,11.14857142857143,11.054285714285713,27.725714285714282,20.262857142857143,36.995714285714286,11.203809523809522,60.224090909090926,0.0
2,166.15,C_3,238,7-21,8,3,9.853333333333333,11.21,11.466666666666667,25.16,15.066666666666665,29.902500000000003,13.119375000000002,44.91,0.0
3,175.385,C_3,240,7-23,8,5,18.19666666666667,12.409999999999998,12.431666666666667,27.19666666666667,19.463333333333335,26.613157894736844,4.970526315789473,45.587857142857146,0.0
4,204.33999999999997,C_3,241,7-24,8,6,15.280000000000001,13.2,13.496,26.024,20.285999999999998,34.165263157894735,9.09842105263158,32.79285714285714,0.0
5,266.68,C_3,242,7-25,8,0,9.9775,11.50375,12.0,25.35625,28.228749999999998,52.546800000000005,10.281600000000001,30.988076923076918,0.0
6,197.34666666666666,C_3,243,7-26,8,1,7.906666666666666,8.156666666666668,8.1,21.389999999999997,14.836666666666666,38.282000000000004,3.1153333333333335,31.829473684210527,0.0
7,223.8,C_3,244,7-27,8,2,9.035,11.2875,11.9775,25.75,18.495,24.584615384615386,10.490000000000002,34.04555555555555,0.0
8,294.46000000000004,C_3,245,7-28,8,3,7.557499999999999,8.782499999999999,9.04,22.4275,21.98,25.929090909090913,3.2072727272727275,59.984166666666674,0.0
9,129.59,C_3,246,7-29,8,4,11.15,12.254999999999999,13.370000000000001,32.54,25.97,25.545384615384616,19.913846153846155,80.43875,0.0
10,191.78,C_3,247,7-30,8,5,8.290000000000001,9.265,10.6525,25.900000000000002,19.8125,20.700555555555557,7.617222222222223,43.03181818181818,0.0
11,197.7,C_3,248,7-31,8,6,8.095,10.17,10.408333333333333,30.33,22.006666666666664,26.312142857142852,2.3571428571428577,39.94833333333333,0.0
12,350.05,C_3,249,8-1,8,0,15.2175,17.745,12.7325,28.042499999999997,19.685,45.708421052631586,3.770526315789473,53.148125,0.0
13,289.14,C_3,250,8-2,8,1,10.947142857142854,12.542857142857141,11.944285714285714,23.59285714285715,26.08571428571429,30.611874999999998,3.8474999999999997,49.83764705882353,0.0
14,238.65,C_3,251,8-3,8,2,9.974285714285713,12.77,11.891428571428571,34.971428571428575,18.268571428571427,24.638571428571428,11.312857142857144,62.595000000000006,0.0
15,253.25,C_3,252,8-4,8,3,11.04125,12.73125,13.370000000000001,31.637500000000003,34.863749999999996,35.92,7.920555555555556,52.908181818181816,0.0
16,352.295,C_3,253,8-5,8,4,10.95142857142857,12.765714285714285,20.827142857142857,24.321428571428573,17.112857142857145,19.50307692307692,3.4784615384615383,49.93928571428571,0.0
17,166.20499999999998,C_3,255,8-7,8,6,8.282499999999999,9.13625,9.4175,22.91375,18.677500000000002,23.619999999999997,2.6876470588235297,43.824374999999996,0.0
18,219.91500000000002,C_3,256,8-8,8,0,11.351111111111111,13.221111111111112,12.762222222222224,31.68333333333333,25.73777777777778,49.97416666666667,11.155416666666667,54.65925925925926,0.0
19,198.88333333333333,C_3,257,8-9,8,1,11.932500000000001,9.047500000000001,9.4525,22.240000000000002,32.2425,48.600000000000016,8.803333333333333,37.86761904761905,0.0
20,217.82,C_3,258,8-10,8,2,13.143333333333333,16.09,16.583333333333332,38.24666666666667,15.13,45.065,7.32,58.651250000000005,0.0
21,218.47500000000002,C_3,261,8-13,8,5,10.933333333333335,10.049999999999999,9.466666666666667,21.78333333333333,50.29,24.5015,9.371,41.91291666666667,0.0
22,242.25,C_3,262,8-14,8,6,8.958571428571428,9.437142857142858,10.739999999999998,23.695714285714285,23.845714285714287,22.520476190476188,5.024761904761904,36.55842105263158,0.0
23,315.09,C_3,263,8-15,8,0,10.635,6.585000000000001,8.285,19.035,18.990000000000002,39.41272727272727,8.553636363636365,83.22894736842103,0.0
24,371.96,C_3,265,8-17,8,2,8.745000000000001,10.18,10.04,22.33,35.245000000000005,42.083076923076916,10.626923076923077,29.164736842105263,0.0
26,280.745,C_3,267,8-19,8,4,9.035,9.45,9.355,24.924999999999997,37.21,40.629374999999996,3.0143750000000002,29.758846153846154,0.0
27,216.41333333333333,C_3,268,8-20,8,5,9.62,8.48,7.29,18.33,15.04,24.142222222222223,4.974444444444444,29.634399999999996,0.0
28,140.77,C_3,269,8-21,8,6,10.67,12.99,9.92,21.54,14.63,28.266666666666666,6.014444444444445,25.562857142857148,0.0
31,176.915,C_3,272,8-24,8,2,10.555,9.565000000000001,10.09,29.02,35.215,52.14583333333334,4.3758333333333335,28.240454545454543,0.0
33,126.26,C_3,275,8-27,8,5,7.6066666666666665,6.766666666666667,7.316666666666666,54.98666666666667,68.14999999999999,25.111666666666665,6.5008333333333335,32.645789473684204,0.0
34,123.51,C_3,276,8-28,8,6,9.62,8.21,7.57,17.68,14.79,18.394,2.9099999999999997,38.09444444444444,0.0
35,106.8,C_3,277,8-29,8,0,11.68,10.366666666666667,9.583333333333334,31.636666666666667,39.163333333333334,35.19142857142857,9.835714285714285,39.66941176470588,0.0
36,174.6,C_3,279,8-31,8,2,7.78,9.43,9.74,22.37,19.83,38.96666666666666,7.576666666666668,41.23,0.0
37,153.18,C_3,280,9-1,8,3,11.732727272727272,9.947272727272727,8.662727272727274,24.031818181818178,30.842727272727277,15.351666666666667,3.98,30.327272727272724,0.0
38,142.24,C_3,281,9-2,8,4,11.433571428571428,8.551428571428572,7.845,18.957142857142856,29.069999999999993,14.87,8.2105,32.81933333333333,0.0
39,125.52,C_3,282,9-3,8,5,8.845,8.30125,7.9399999999999995,18.4325,28.018749999999997,19.267999999999997,5.457,50.311499999999995,0.0
40,137.16,C_3,286,9-7,8,2,12.033333333333333,9.14777777777778,8.872222222222224,20.26111111111111,24.689999999999998,18.588,7.3805,31.01571428571429,0.0
41,149.51,C_3,287,9-8,8,3,9.016666666666667,8.783333333333333,6.82,18.866666666666664,30.01,21.66857142857143,8.665714285714285,32.78615384615385,0.0
42,189.1,C_3,289,9-10,8,5,12.174000000000001,10.84,10.347999999999999,27.412,21.144,33.81318181818181,7.006363636363637,30.27916666666667,0.0
43,150.38,C_3,290,9-11,8,6,9.518888888888888,10.076666666666666,10.017777777777777,29.57,34.57444444444444,24.58068965517241,3.204482758620689,31.166296296296295,0.0
44,146.32999999999998,C_3,292,9-13,8,1,8.885555555555555,9.59888888888889,9.866666666666667,25.38666666666667,40.75666666666667,31.88090909090909,7.693181818181817,37.8552380952381,0.0
45,143.31,C_3,293,9-14,8,2,8.416,9.749999999999998,14.004000000000001,72.33399999999999,74.176,26.557647058823527,5.788823529411765,38.20421052631579,0.8
46,107.9,C_3,297,9-18,8,6,8.76,9.7175,13.44,26.495,24.3975,32.363076923076925,7.5638461538461526,33.242799999999995,0.0
47,198.08,C_3,298,9-19,8,0,11.67181818181818,11.623636363636363,10.899090909090908,26.968181818181815,34.51727272727273,24.11916666666667,3.0108333333333337,35.82111111111111,0.0
48,276.74,C_3,299,9-20,8,1,16.15,11.7575,9.477500000000001,25.655,17.4975,30.128666666666668,8.752,29.9364,0.0
