,route,date,real_value
0,B_3,2016-10-18 00:00:00,64.69
1,B_3,2016-10-18 00:40:00,75.37
2,B_3,2016-10-18 01:40:00,70.14
3,B_3,2016-10-18 02:00:00,96.03
4,B_3,2016-10-18 03:40:00,76.88
5,B_3,2016-10-18 06:00:00,54.75
6,B_3,2016-10-18 06:20:00,121.02
7,B_3,2016-10-18 06:40:00,94.04
8,B_3,2016-10-18 07:00:00,120.6
9,B_3,2016-10-18 07:20:00,73.4
10,B_3,2016-10-18 07:40:00,89.91
11,B_3,2016-10-18 08:00:00,126.4
12,B_3,2016-10-18 08:20:00,115.52
13,B_3,2016-10-18 08:40:00,98.86
14,B_3,2016-10-18 09:00:00,131.15
15,B_3,2016-10-18 09:20:00,151.95
16,B_3,2016-10-18 09:40:00,117.69
17,B_3,2016-10-18 10:00:00,85.85
18,B_3,2016-10-18 10:20:00,111.97
19,B_3,2016-10-18 10:40:00,120.19
20,B_3,2016-10-18 11:00:00,124.38
21,B_3,2016-10-18 11:20:00,91.1
22,B_3,2016-10-18 11:40:00,100.28
23,B_3,2016-10-18 12:00:00,79.9
24,B_3,2016-10-18 12:20:00,90.97
25,B_3,2016-10-18 12:40:00,103.24
26,B_3,2016-10-18 13:00:00,117.65
27,B_3,2016-10-18 13:20:00,90.83
28,B_3,2016-10-18 13:40:00,99.16
29,B_3,2016-10-18 14:00:00,123.75
30,B_3,2016-10-18 14:20:00,92.07
31,B_3,2016-10-18 14:40:00,83.17
32,B_3,2016-10-18 15:00:00,135.06
33,B_3,2016-10-18 15:20:00,61.22
34,B_3,2016-10-18 15:40:00,132.87
35,B_3,2016-10-18 16:00:00,111.9
36,B_3,2016-10-18 16:20:00,84.37
37,B_3,2016-10-18 16:40:00,85.17
38,B_3,2016-10-18 17:00:00,80.49
39,B_3,2016-10-18 17:20:00,97.56
40,B_3,2016-10-18 17:40:00,104.47
41,B_3,2016-10-18 18:00:00,125.47
42,B_3,2016-10-18 18:20:00,111.18
43,B_3,2016-10-18 18:40:00,117.39
44,B_3,2016-10-18 19:20:00,49.16
45,B_3,2016-10-18 19:40:00,80.09
46,B_3,2016-10-18 20:00:00,79.79
47,B_3,2016-10-18 20:20:00,127.4
48,B_3,2016-10-18 20:40:00,139.06
49,B_3,2016-10-18 21:00:00,93.79
50,B_3,2016-10-18 21:40:00,92.73
51,B_3,2016-10-18 22:20:00,126.05
52,B_3,2016-10-18 23:20:00,67.28
53,B_3,2016-10-18 23:40:00,80.51
54,B_3,2016-10-19 00:00:00,99.9
55,B_3,2016-10-19 00:40:00,66.63
56,B_3,2016-10-19 01:40:00,68.96
57,B_3,2016-10-19 02:00:00,80.97
58,B_3,2016-10-19 02:40:00,101.39
59,B_3,2016-10-19 03:40:00,60.31
60,B_3,2016-10-19 04:40:00,77.64
61,B_3,2016-10-19 06:00:00,102.83
