route,time,label
A_2,2016-10-18 08:00:00,77.77
A_2,2016-10-18 08:20:00,70.3
A_2,2016-10-18 08:40:00,77.68
A_2,2016-10-18 09:00:00,79.28
A_2,2016-10-18 09:20:00,83.27
A_2,2016-10-18 09:40:00,77.67
A_2,2016-10-18 17:00:00,75.0
A_2,2016-10-18 17:20:00,63.3
A_2,2016-10-18 17:40:00,68.39
A_2,2016-10-18 18:00:00,88.83
A_2,2016-10-18 18:20:00,59.33
A_2,2016-10-18 18:40:00,52.23
A_2,2016-10-19 08:00:00,91.72
A_2,2016-10-19 08:20:00,92.28
A_2,2016-10-19 08:40:00,103.94
A_2,2016-10-19 09:00:00,79.27
A_2,2016-10-19 09:20:00,81.22
A_2,2016-10-19 09:40:00,79.82
A_2,2016-10-19 17:00:00,60.0
A_2,2016-10-19 17:20:00,56.98
A_2,2016-10-19 17:40:00,66.91
A_2,2016-10-19 18:00:00,63.8
A_2,2016-10-19 18:20:00,55.74
A_2,2016-10-19 18:40:00,84.02
A_2,2016-10-20 08:00:00,87.24
A_2,2016-10-20 08:20:00,75.48
A_2,2016-10-20 08:40:00,79.6
A_2,2016-10-20 09:00:00,103.35
A_2,2016-10-20 09:20:00,97.05
A_2,2016-10-20 09:40:00,67.95
A_2,2016-10-20 17:00:00,96.52
A_2,2016-10-20 17:20:00,54.93
A_2,2016-10-20 17:40:00,82.28
A_2,2016-10-20 18:00:00,75.25
A_2,2016-10-20 18:20:00,50.34
A_2,2016-10-20 18:40:00,57.25
A_2,2016-10-21 08:00:00,58.58
A_2,2016-10-21 08:20:00,71.5
A_2,2016-10-21 08:40:00,55.92
A_2,2016-10-21 09:00:00,99.53
A_2,2016-10-21 09:20:00,83.67
A_2,2016-10-21 09:40:00,73.3
A_2,2016-10-21 17:00:00,101.05
A_2,2016-10-21 17:20:00,82.62
A_2,2016-10-21 17:40:00,62.0
A_2,2016-10-21 18:00:00,76.75
A_2,2016-10-21 18:20:00,81.04
A_2,2016-10-21 18:40:00,70.41
A_2,2016-10-22 08:00:00,71.43
A_2,2016-10-22 08:20:00,56.06
A_2,2016-10-22 08:40:00,62.2
A_2,2016-10-22 09:00:00,79.54
A_2,2016-10-22 09:20:00,64.81
A_2,2016-10-22 09:40:00,70.94
A_2,2016-10-22 17:00:00,71.32
A_2,2016-10-22 17:20:00,63.61
A_2,2016-10-22 17:40:00,77.17
A_2,2016-10-22 18:00:00,69.61
A_2,2016-10-22 18:20:00,66.35
A_2,2016-10-22 18:40:00,58.64
A_2,2016-10-23 08:00:00,56.62
A_2,2016-10-23 08:20:00,65.06
A_2,2016-10-23 08:40:00,65.96
A_2,2016-10-23 09:00:00,83.79
A_2,2016-10-23 09:20:00,64.03
A_2,2016-10-23 09:40:00,66.64
A_2,2016-10-23 17:00:00,94.08
A_2,2016-10-23 17:20:00,67.87
A_2,2016-10-23 17:40:00,63.09
A_2,2016-10-23 18:00:00,63.97
A_2,2016-10-23 18:20:00,60.32
A_2,2016-10-23 18:40:00,69.44
A_2,2016-10-24 08:00:00,70.59
A_2,2016-10-24 08:20:00,85.32
A_2,2016-10-24 08:40:00,63.33
A_2,2016-10-24 09:00:00,79.18
A_2,2016-10-24 09:20:00,76.7
A_2,2016-10-24 09:40:00,51.01
A_2,2016-10-24 17:00:00,85.03
A_2,2016-10-24 17:20:00,68.98
A_2,2016-10-24 17:40:00,53.84
A_2,2016-10-24 18:00:00,65.13
A_2,2016-10-24 18:20:00,61.35
A_2,2016-10-24 18:40:00,62.85
