route,time,label
B_3,2016-10-18 08:00:00,126.4
B_3,2016-10-18 08:20:00,115.52
B_3,2016-10-18 08:40:00,98.86
B_3,2016-10-18 09:00:00,131.15
B_3,2016-10-18 09:20:00,151.95
B_3,2016-10-18 09:40:00,117.69
B_3,2016-10-18 17:00:00,80.49
B_3,2016-10-18 17:20:00,97.56
B_3,2016-10-18 17:40:00,104.47
B_3,2016-10-18 18:00:00,125.47
B_3,2016-10-18 18:20:00,111.18
B_3,2016-10-18 18:40:00,117.39
B_3,2016-10-19 08:00:00,70.3
B_3,2016-10-19 08:20:00,145.63
B_3,2016-10-19 08:40:00,120.0
B_3,2016-10-19 09:00:00,129.17
B_3,2016-10-19 09:20:00,108.18
B_3,2016-10-19 09:40:00,112.14
B_3,2016-10-19 17:00:00,106.34
B_3,2016-10-19 17:20:00,105.73
B_3,2016-10-19 17:40:00,101.06
B_3,2016-10-19 18:00:00,87.42
B_3,2016-10-19 18:20:00,110.38
B_3,2016-10-19 18:40:00,80.84
B_3,2016-10-20 08:00:00,93.88
B_3,2016-10-20 08:20:00,87.78
B_3,2016-10-20 08:40:00,103.01
B_3,2016-10-20 09:00:00,94.06
B_3,2016-10-20 09:20:00,114.88
B_3,2016-10-20 09:40:00,70.85
B_3,2016-10-20 17:00:00,116.79
B_3,2016-10-20 17:20:00,93.09
B_3,2016-10-20 17:40:00,87.7
B_3,2016-10-20 18:00:00,99.22
B_3,2016-10-20 18:20:00,80.24
B_3,2016-10-20 18:40:00,106.83
B_3,2016-10-21 08:00:00,85.64
B_3,2016-10-21 08:20:00,99.17
B_3,2016-10-21 08:40:00,102.09
B_3,2016-10-21 09:00:00,103.95
B_3,2016-10-21 09:20:00,82.41
B_3,2016-10-21 09:40:00,107.51
B_3,2016-10-21 17:00:00,84.76
B_3,2016-10-21 17:20:00,108.29
B_3,2016-10-21 17:40:00,130.19
B_3,2016-10-21 18:00:00,137.44
B_3,2016-10-21 18:20:00,120.71
B_3,2016-10-21 18:40:00,60.02
B_3,2016-10-22 08:00:00,103.23
B_3,2016-10-22 08:20:00,111.49
B_3,2016-10-22 08:40:00,65.55
B_3,2016-10-22 09:00:00,92.04
B_3,2016-10-22 09:20:00,116.15
B_3,2016-10-22 09:40:00,114.06
B_3,2016-10-22 17:00:00,87.86
B_3,2016-10-22 17:20:00,103.59
B_3,2016-10-22 17:40:00,120.99
B_3,2016-10-22 18:00:00,95.22
B_3,2016-10-22 18:20:00,72.77
B_3,2016-10-22 18:40:00,88.6
B_3,2016-10-23 08:00:00,106.67
B_3,2016-10-23 08:20:00,85.55
B_3,2016-10-23 08:40:00,91.14
B_3,2016-10-23 09:00:00,64.23
B_3,2016-10-23 09:20:00,120.49
B_3,2016-10-23 09:40:00,105.35
B_3,2016-10-23 17:00:00,88.62
B_3,2016-10-23 17:20:00,104.55
B_3,2016-10-23 17:40:00,90.96
B_3,2016-10-23 18:00:00,109.01
B_3,2016-10-23 18:20:00,81.63
B_3,2016-10-23 18:40:00,104.62
B_3,2016-10-24 08:00:00,120.81
B_3,2016-10-24 08:20:00,98.33
B_3,2016-10-24 08:40:00,107.49
B_3,2016-10-24 09:00:00,147.68
B_3,2016-10-24 09:20:00,124.16
B_3,2016-10-24 09:40:00,136.56
B_3,2016-10-24 17:00:00,110.46
B_3,2016-10-24 17:20:00,57.83
B_3,2016-10-24 17:40:00,118.39
B_3,2016-10-24 18:00:00,104.99
B_3,2016-10-24 18:20:00,129.71
B_3,2016-10-24 18:40:00,46.32
