route,time,label
C_3,2016-10-18 08:20:00,233.55
C_3,2016-10-18 08:40:00,155.31
C_3,2016-10-18 09:00:00,216.72
C_3,2016-10-18 09:20:00,178.4
C_3,2016-10-18 09:40:00,144.3
C_3,2016-10-18 17:00:00,189.83
C_3,2016-10-18 18:00:00,84.47
C_3,2016-10-18 18:40:00,204.89
C_3,2016-10-19 08:00:00,188.63
C_3,2016-10-19 08:20:00,175.91
C_3,2016-10-19 08:40:00,202.04
C_3,2016-10-19 09:00:00,209.15
C_3,2016-10-19 09:20:00,143.38
C_3,2016-10-19 09:40:00,168.16
C_3,2016-10-19 17:00:00,108.94
C_3,2016-10-19 17:20:00,185.13
C_3,2016-10-19 18:00:00,273.95
C_3,2016-10-19 18:20:00,123.48
C_3,2016-10-19 18:40:00,170.41
C_3,2016-10-20 08:20:00,141.54
C_3,2016-10-20 08:40:00,194.8
C_3,2016-10-20 09:00:00,148.35
C_3,2016-10-20 09:20:00,209.36
C_3,2016-10-20 17:00:00,143.44
C_3,2016-10-20 17:20:00,138.56
C_3,2016-10-20 17:40:00,173.81
C_3,2016-10-20 18:20:00,211.71
C_3,2016-10-21 08:20:00,124.56
C_3,2016-10-21 08:40:00,214.37
C_3,2016-10-21 09:00:00,106.63
C_3,2016-10-21 09:20:00,155.75
C_3,2016-10-21 09:40:00,131.44
C_3,2016-10-21 17:20:00,193.78
C_3,2016-10-21 17:40:00,254.98
C_3,2016-10-21 18:00:00,273.59
C_3,2016-10-21 18:20:00,216.57
C_3,2016-10-21 18:40:00,242.64
C_3,2016-10-22 08:00:00,196.43
C_3,2016-10-22 09:00:00,134.16
C_3,2016-10-22 09:20:00,174.1
C_3,2016-10-22 09:40:00,135.19
C_3,2016-10-22 17:00:00,199.61
C_3,2016-10-22 17:20:00,167.41
C_3,2016-10-22 17:40:00,245.12
C_3,2016-10-22 18:00:00,167.08
C_3,2016-10-22 18:20:00,224.5
C_3,2016-10-22 18:40:00,241.57
C_3,2016-10-23 09:00:00,93.53
C_3,2016-10-23 09:20:00,211.69
C_3,2016-10-23 17:20:00,198.63
C_3,2016-10-23 17:40:00,200.92
C_3,2016-10-23 18:00:00,218.88
C_3,2016-10-23 18:40:00,138.99
C_3,2016-10-24 08:40:00,141.63
C_3,2016-10-24 09:20:00,142.25
C_3,2016-10-24 09:40:00,169.27
C_3,2016-10-24 17:00:00,161.79
C_3,2016-10-24 17:20:00,165.87
C_3,2016-10-24 17:40:00,111.53
C_3,2016-10-24 18:20:00,109.12
