route,time,label
A_3,2016-10-18 08:00:00,197.5
A_3,2016-10-18 08:20:00,166.9
A_3,2016-10-18 08:40:00,253.82
A_3,2016-10-18 09:00:00,240.16
A_3,2016-10-18 09:20:00,179.19
A_3,2016-10-18 09:40:00,136.98
A_3,2016-10-18 17:00:00,136.34
A_3,2016-10-18 17:20:00,143.7
A_3,2016-10-18 17:40:00,100.13
A_3,2016-10-18 18:00:00,122.91
A_3,2016-10-18 18:20:00,112.75
A_3,2016-10-18 18:40:00,120.58
A_3,2016-10-19 08:00:00,319.67
A_3,2016-10-19 08:20:00,328.02
A_3,2016-10-19 08:40:00,326.7
A_3,2016-10-19 09:00:00,339.07
A_3,2016-10-19 09:20:00,316.84
A_3,2016-10-19 09:40:00,199.89
A_3,2016-10-19 17:00:00,152.27
A_3,2016-10-19 17:20:00,123.18
A_3,2016-10-19 17:40:00,112.64
A_3,2016-10-19 18:00:00,110.19
A_3,2016-10-19 18:20:00,100.43
A_3,2016-10-19 18:40:00,150.64
A_3,2016-10-20 08:00:00,183.76
A_3,2016-10-20 08:20:00,242.81
A_3,2016-10-20 08:40:00,224.49
A_3,2016-10-20 09:00:00,201.63
A_3,2016-10-20 09:20:00,263.23
A_3,2016-10-20 09:40:00,182.37
A_3,2016-10-20 17:00:00,139.66
A_3,2016-10-20 17:20:00,126.32
A_3,2016-10-20 17:40:00,124.92
A_3,2016-10-20 18:00:00,139.16
A_3,2016-10-20 18:20:00,128.43
A_3,2016-10-20 18:40:00,95.71
A_3,2016-10-21 08:00:00,258.88
A_3,2016-10-21 08:20:00,270.64
A_3,2016-10-21 08:40:00,240.81
A_3,2016-10-21 09:00:00,237.97
A_3,2016-10-21 09:20:00,250.89
A_3,2016-10-21 09:40:00,194.2
A_3,2016-10-21 17:00:00,135.93
A_3,2016-10-21 17:20:00,121.93
A_3,2016-10-21 17:40:00,107.05
A_3,2016-10-21 18:00:00,113.41
A_3,2016-10-21 18:20:00,123.13
A_3,2016-10-21 18:40:00,107.53
A_3,2016-10-22 08:00:00,120.94
A_3,2016-10-22 08:20:00,113.81
A_3,2016-10-22 08:40:00,195.13
A_3,2016-10-22 09:00:00,116.25
A_3,2016-10-22 09:20:00,124.06
A_3,2016-10-22 09:40:00,147.83
A_3,2016-10-22 17:00:00,110.48
A_3,2016-10-22 17:20:00,113.84
A_3,2016-10-22 17:40:00,124.66
A_3,2016-10-22 18:00:00,88.7
A_3,2016-10-22 18:20:00,103.83
A_3,2016-10-22 18:40:00,170.18
A_3,2016-10-23 08:00:00,91.06
A_3,2016-10-23 08:20:00,90.74
A_3,2016-10-23 08:40:00,111.3
A_3,2016-10-23 09:00:00,116.89
A_3,2016-10-23 09:20:00,103.09
A_3,2016-10-23 09:40:00,95.62
A_3,2016-10-23 17:00:00,112.65
A_3,2016-10-23 17:20:00,107.82
A_3,2016-10-23 17:40:00,112.35
A_3,2016-10-23 18:00:00,98.51
A_3,2016-10-23 18:20:00,103.75
A_3,2016-10-23 18:40:00,102.92
A_3,2016-10-24 08:00:00,265.38
A_3,2016-10-24 08:20:00,234.99
A_3,2016-10-24 08:40:00,181.75
A_3,2016-10-24 09:00:00,262.43
A_3,2016-10-24 09:20:00,146.56
A_3,2016-10-24 09:40:00,92.95
A_3,2016-10-24 17:00:00,121.97
A_3,2016-10-24 17:20:00,124.4
A_3,2016-10-24 17:40:00,95.07
A_3,2016-10-24 18:00:00,109.61
A_3,2016-10-24 18:20:00,109.73
A_3,2016-10-24 18:40:00,165.64
