route,time,label
B_1,2016-10-18 08:00:00,88.71
B_1,2016-10-18 08:20:00,136.07
B_1,2016-10-18 08:40:00,108.32
B_1,2016-10-18 09:00:00,109.72
B_1,2016-10-18 09:20:00,121.11
B_1,2016-10-18 09:40:00,103.39
B_1,2016-10-18 17:00:00,120.0
B_1,2016-10-18 17:20:00,150.77
B_1,2016-10-18 17:40:00,154.23
B_1,2016-10-18 18:00:00,131.32
B_1,2016-10-18 18:20:00,131.49
B_1,2016-10-18 18:40:00,175.32
B_1,2016-10-19 08:00:00,92.31
B_1,2016-10-19 08:20:00,135.66
B_1,2016-10-19 08:40:00,153.98
B_1,2016-10-19 09:00:00,117.8
B_1,2016-10-19 09:20:00,137.92
B_1,2016-10-19 09:40:00,142.04
B_1,2016-10-19 17:00:00,120.2
B_1,2016-10-19 17:40:00,115.66
B_1,2016-10-19 18:00:00,141.59
B_1,2016-10-20 08:00:00,108.92
B_1,2016-10-20 08:20:00,138.17
B_1,2016-10-20 08:40:00,83.41
B_1,2016-10-20 09:00:00,119.25
B_1,2016-10-20 09:20:00,105.32
B_1,2016-10-20 09:40:00,132.5
B_1,2016-10-20 17:00:00,87.61
B_1,2016-10-20 17:20:00,173.74
B_1,2016-10-20 17:40:00,140.4
B_1,2016-10-20 18:00:00,21.7
B_1,2016-10-20 18:20:00,143.75
B_1,2016-10-20 18:40:00,137.51
B_1,2016-10-21 08:00:00,126.64
B_1,2016-10-21 08:20:00,163.0
B_1,2016-10-21 08:40:00,118.02
B_1,2016-10-21 09:00:00,123.06
B_1,2016-10-21 09:20:00,115.15
B_1,2016-10-21 09:40:00,97.77
B_1,2016-10-21 17:00:00,174.46
B_1,2016-10-21 17:20:00,221.76
B_1,2016-10-21 18:00:00,392.65
B_1,2016-10-21 18:40:00,188.54
B_1,2016-10-22 08:00:00,105.17
B_1,2016-10-22 08:20:00,116.39
B_1,2016-10-22 08:40:00,107.39
B_1,2016-10-22 09:00:00,130.69
B_1,2016-10-22 09:20:00,144.58
B_1,2016-10-22 09:40:00,126.19
B_1,2016-10-22 17:00:00,160.13
B_1,2016-10-22 17:20:00,155.09
B_1,2016-10-22 17:40:00,111.85
B_1,2016-10-22 18:00:00,115.5
B_1,2016-10-22 18:20:00,175.15
B_1,2016-10-23 08:00:00,139.86
B_1,2016-10-23 08:20:00,111.58
B_1,2016-10-23 09:00:00,189.01
B_1,2016-10-23 09:40:00,107.28
B_1,2016-10-23 17:00:00,84.84
B_1,2016-10-23 17:20:00,94.28
B_1,2016-10-23 17:40:00,136.49
B_1,2016-10-23 18:00:00,125.39
B_1,2016-10-23 18:20:00,104.97
B_1,2016-10-23 18:40:00,124.76
B_1,2016-10-24 08:40:00,112.63
B_1,2016-10-24 09:00:00,95.66
B_1,2016-10-24 09:20:00,124.09
B_1,2016-10-24 09:40:00,111.86
B_1,2016-10-24 17:00:00,114.14
B_1,2016-10-24 17:20:00,128.66
B_1,2016-10-24 17:40:00,123.62
B_1,2016-10-24 18:00:00,146.24
B_1,2016-10-24 18:40:00,125.79
