route,time,label
C_1,2016-10-18 08:00:00,134.51
C_1,2016-10-18 08:20:00,183.06
C_1,2016-10-18 09:00:00,158.02
C_1,2016-10-18 09:20:00,130.53
C_1,2016-10-18 09:40:00,151.99
C_1,2016-10-18 17:00:00,417.44
C_1,2016-10-18 17:20:00,185.55
C_1,2016-10-18 17:40:00,238.49
C_1,2016-10-18 18:00:00,179.15
C_1,2016-10-18 18:20:00,263.94
C_1,2016-10-18 18:40:00,390.85
C_1,2016-10-19 08:00:00,158.18
C_1,2016-10-19 08:20:00,189.34
C_1,2016-10-19 08:40:00,140.53
C_1,2016-10-19 09:00:00,158.96
C_1,2016-10-19 09:20:00,250.19
C_1,2016-10-19 09:40:00,220.91
C_1,2016-10-19 17:00:00,233.4
C_1,2016-10-19 17:20:00,190.28
C_1,2016-10-19 17:40:00,198.43
C_1,2016-10-19 18:00:00,283.97
C_1,2016-10-19 18:20:00,314.9
C_1,2016-10-20 08:00:00,200.43
C_1,2016-10-20 08:20:00,178.94
C_1,2016-10-20 08:40:00,200.76
C_1,2016-10-20 09:00:00,138.53
C_1,2016-10-20 09:20:00,182.56
C_1,2016-10-20 09:40:00,152.07
C_1,2016-10-20 17:00:00,226.48
C_1,2016-10-20 17:20:00,312.25
C_1,2016-10-20 18:00:00,174.53
C_1,2016-10-20 18:20:00,149.01
C_1,2016-10-20 18:40:00,165.61
C_1,2016-10-21 08:00:00,147.11
C_1,2016-10-21 08:20:00,193.38
C_1,2016-10-21 09:00:00,149.93
C_1,2016-10-21 09:20:00,182.18
C_1,2016-10-21 09:40:00,173.31
C_1,2016-10-21 17:00:00,265.45
C_1,2016-10-21 17:20:00,465.17
C_1,2016-10-21 17:40:00,482.11
C_1,2016-10-21 18:00:00,487.41
C_1,2016-10-21 18:20:00,490.26
C_1,2016-10-21 18:40:00,317.67
C_1,2016-10-22 08:20:00,169.57
C_1,2016-10-22 08:40:00,173.51
C_1,2016-10-22 09:00:00,187.36
C_1,2016-10-22 09:20:00,187.97
C_1,2016-10-22 17:00:00,331.19
C_1,2016-10-22 17:20:00,240.21
C_1,2016-10-22 17:40:00,229.13
C_1,2016-10-22 18:00:00,271.24
C_1,2016-10-22 18:20:00,245.61
C_1,2016-10-22 18:40:00,233.02
C_1,2016-10-23 08:00:00,159.65
C_1,2016-10-23 08:20:00,186.79
C_1,2016-10-23 08:40:00,153.82
C_1,2016-10-23 09:00:00,211.64
C_1,2016-10-23 09:20:00,153.05
C_1,2016-10-23 09:40:00,447.96
C_1,2016-10-23 17:00:00,227.86
C_1,2016-10-23 17:20:00,229.92
C_1,2016-10-23 17:40:00,221.27
C_1,2016-10-23 18:00:00,200.4
C_1,2016-10-23 18:20:00,224.13
C_1,2016-10-23 18:40:00,122.38
C_1,2016-10-24 08:00:00,159.83
C_1,2016-10-24 08:20:00,156.72
C_1,2016-10-24 08:40:00,157.63
C_1,2016-10-24 09:20:00,136.74
C_1,2016-10-24 09:40:00,205.9
C_1,2016-10-24 17:00:00,190.15
C_1,2016-10-24 17:20:00,154.65
C_1,2016-10-24 17:40:00,160.04
C_1,2016-10-24 18:00:00,271.2
C_1,2016-10-24 18:20:00,260.35
